Header Level,Header Text,Content
h1,REVA University,"REVA University strives for academic excellence. Innovative pedagogy, best mentors, and faculty with vast industry experience offer modern education of global standards."
h2,Browse by Faculty,
h2,Admission Helplines,
h2,Study,
h2,Browse by Faculty,
h2,Career Development Centre,"The dynamic team at the Career Development Centre, our recruiting team, ensures you find the right opportunities at the right organisations."
h2,REVARESEARCH,
h2,LIFE AT,
h2,ABOUT,
h2,"15,000+",Student Mix on Campus
h2,4000+,Students Reside in the Campus
h2,600+,Highly Qualified Faculty Members
h2,450+,Recruiting Partners
h2,45+,Acres of Lush Green Campus
h2,36,LPA
h2,Happenings,
h2,Why REVA,
h2,Login,
h2,Membership,
h2,Internationalization,
h2,Careers,
h2,Alumni,
h2,Contact,
h2,Entrepreneurship,
h2,Happenings,
h2,University E-Resources,
h2,Others,
h2,Faculty Profile,
h2,Grievance Redressal,
h2,Anti Ragging,
h2,Why REVA,
h2,Careers,
h2,Happenings,
h2,Contact,
h2,Alumni,
h2,Library E-Resources,
h2,Login,
h2,Other,
h2,Notifications,
h3,At REVA,
h3,3017,
h3,459,
h3,1469,
h3,445,
h3,58 LPA,
h3,64 LPA,
h3,"75,000 Per Month",
h3,Accreditation & Rankings,
h3,REVA,
h3,UNIVERSITY,
h3,05 /,
h3,25 /,
h3,Interschool Cricket(M) Tournament 2024,
h3,24 /,
h3,4th International Conference on Global trends in Sustainable Technology its Applications in Applied Sciences (ICGTSTAS-2024),"The School of Applied Sciences at REVA University is hosting the ""Global trends in Sustainable Technology its"
h3,09 /,
h3,Mega Blood Donation Camp 2024,
h3,04 /,
h3,"3rd International Conference on Innovating for Sustainability: the Integration of ESG, AI & Modern Management Practices","School Of Management studies is organizing 3rd International Conference on Innovating for Sustainability: the Integration of ESG,"
h3,03 /,
h3,05 /,
h3,Global Perspectives on Gender Based Violence-Intersectionality and Interdisciplinary Space on 5th &6th Dec 2024,
h3,25 /,
h3,Interschool Cricket(M) Tournament 2024,
h3,24 /,
h3,4th International Conference on Global trends in Sustainable Technology its Applications in Applied Sciences (ICGTSTAS-2024),
h3,09 /,
h3,Mega Blood Donation Camp 2024,
h3,04 /,
h3,"3rd International Conference on Innovating for Sustainability: the Integration of ESG, AI & Modern Management Practices",
h3,03 /,
h3,"Superhydrophobic Surfaces, Adhesive Bonding and Energy Storage Nanomaterials: Synthesis and Applications",
h3,Follow Us,
h3,Follow Us,
h3,05 /,
h3,25 /,
h3,24 /,
h3,09 /,
h3,04 /,
h3,03 /,
h3,27 /,
h3,26 /,
h3,27 /,
h3,26 /,
h4,Kavya J,
h4,Memberships & Recognition,
h4,Memberships & Recognition,
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,REVA University,"Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore, Karnataka, India, 560 064 © RECT All Rights ReservedWebsite Design and Developmentby Sterco Digitex"
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Sep-24,
h4,Sep-24,
h4,Aug-24,
h4,Aug-24,
h5,Total Offers,
h5,Super Dream Offers,
h5,Dream Offers,
h5,No.of companies visited,
h5,Highest CTC International,
h5,Highest CTC Domestic,
h5,Highest Internship Stipend,
h5,MBA,
h1,M.Tech in Computer Aided Structural Engineering(M.Tech.),
h2,Browse by Faculty,
h2,Admission Helplines,
h2,Why REVA,
h2,Login,
h2,Membership,
h2,Internationalization,
h2,Careers,
h2,Alumni,
h2,Contact,
h2,Entrepreneurship,
h2,Happenings,
h2,University E-Resources,
h2,Others,
h2,Faculty Profile,
h2,Grievance Redressal,
h2,Anti Ragging,
h2,Why REVA,
h2,Careers,
h2,Happenings,
h2,Contact,
h2,Alumni,
h2,Library E-Resources,
h2,Login,
h2,Other,
h2,Notifications,
h3,4 Semesters(2  Years),
h3,,
h3,Overview,
h3,WHAT MAKES THE PROGRAMME UNIQUE?,"A postgraduate programme to create motivated, innovative, creative thinking graduates to fill the roles of structural designers who can conceptualise, design, analyse and develop engineering structures to meet modern-day requirements. Providing hands-on experience to work in both public and private sectors. To prepare postgraduates in civil engineering who will excel in their professional career and contribute with commitment and dedication to the progress of society and the nation. To enhance the understanding of the engineering principles of civil engineering systems. Provide solid foundation in mathematics, sciences, and technical skills needed to analyse and design civil infrastructure systems. Graduates will be distinguished with a high degree of awareness of moral, ethical, legal and professional obligations to protect human health, human welfare, and the environment. Train to establish incubation centre and centre of excellence in thrust areas in collaboration with industries."
h3,Course Curriculum,
h3,Programme Educational Objectives (PEOs),Graduates of M.Tech CE (Computer Aided Structural Engineering) will:
h3,Programme Outcomes (POs),
h3,Programme Handbooks,
h3,Programme Specific Outcomes,"On successful completion of the programme, graduates M.Tech CE (Computer Aided Structural Engineering) will be able to:"
h3,Career Opportunities,
h3,Follow Us,
h3,Follow Us,
h3,05 /,
h3,25 /,
h3,24 /,
h3,09 /,
h3,04 /,
h3,03 /,
h3,27 /,
h3,26 /,
h3,27 /,
h3,26 /,
h4,Eligibility Criteria,Passed Bachelor's Degree or equivalent.Obtained at least 50% marks (45% marks in case of candidates belonging to reserved category) in the qualifying examination.
h4,REVA University,"Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore, Karnataka, India, 560 064 © RECT All Rights ReservedWebsite Design and Developmentby Sterco Digitex"
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
